Median.Age,Unemployment.Rate,Violent.Crimes.Per.1000,Murders.And.Manslaughters.Per.1000,Rapes.Per.1000,Robberies.Per.1000,Aggravated.Assaults.Per.1000,Property.Crimes.Per.1000,Burglaries.Per.1000,Larceny.Thefts.Per.1000,Motor.Vehicle.Thefts.Per.1000,High.School.Or.Higher.Pct,Bachelors.Or.Higher.Pct,Republican.Vote.Pct,Without.Health.Insurance.Pct,Income.Per.Capita,Median.Household.Income,Poverty.Rate,Land.Area,Population.Density,Female.Pct,White.Pct,Black.Pct,Asian.Pct,Mixed.Race.Pct,Hispanic.Pct,Foreign.Born.Pct,County,Population,Crude.Rate,Gun.Law.Rank.2010,Federal.Govt.Expenditure.Per.Person
41.1,8.9,1.678874167,0.027432584,0.345650564,0.307244946,0.998546073,19.21378213,4.049049461,14.38564727,0.779085398,87.5,26.6,75.3,18.3,26197,48637,13.3,1589.78,114.6,51.1,85.7,9.4,0.7,1.5,4.4,3,"Baldwin County, AL",182265,15.91,24,6.465223713
37.3,7.3,4.650384844,0.053761674,0.361397923,1.451565211,2.783660035,42.90480301,10.38496346,28.45485961,4.064979944,87.9,37.9,56.9,14.7,29588,57327,10.3,801.59,417.7,50.9,68.2,24,2.5,2.5,4.6,4.8,"Madison County, AL",334811,17.62,24,29.27571973
36.6,10.2,4.62962963,0.157388037,0.152545328,2.852355494,1.467340772,47.38590578,12.32227259,30.79236402,4.271269177,82.1,19.7,54,15.2,21274,39828,18.7,1229.44,335.9,52,60.2,34.6,1.8,1.5,2.4,3,"Mobile County, AL",412992,17.68,24,9.52593997
34.9,9.3,4.154985765,0.100277726,0.244154463,2.123271844,1.687281732,58.79326657,16.44118711,37.94857933,4.403500129,84.3,30.5,40.1,12.5,25102,41084,19.9,784.25,292.5,52.4,39.5,54.7,2.1,1.3,3.6,2.9,"Montgomery County, AL",229363,15.7,24,21.4101141
37.1,9.4,8.184173518,0.160980218,0.548243949,3.755698852,3.7192505,61.48836842,16.76624154,39.28372915,5.43839773,86.1,28.1,47.1,12,26256,43312,16.5,1111.28,592.5,52.6,53,42,1.4,1.1,3.9,3.8,"Jefferson County, AL",658466,19.44,24,11.31247475
31.2,8.3,4.376952162,0.077059017,0.308236068,1.438434983,2.553222094,45.42885912,12.65309058,29.63689791,3.138870623,83.9,26.9,57.5,15.7,22489,41842,19.9,1321.76,147.3,51.5,66.3,29.6,1.2,1.1,3.1,3,"Tuscaloosa County, AL",194656,15.93,24,8.35554003
36.9,7,1.378886127,0.015377912,0.169157034,0.384447805,0.809903375,19.61196402,4.608247687,13.88112874,1.12258759,91.5,39.9,76.2,12.4,33607,65408,6.9,784.93,248.5,51,83,10.6,1.9,1.4,5.9,4.5,"Shelby County, AL",195085,14.35,24,4.707942692
34.3,6.4,2.091813914,0.018071826,0.501493185,0.112948915,1.459299988,19.0793308,4.811623799,13.53128007,0.736426929,83.2,24.9,67.2,21.7,24647,49226,13.1,847.36,261.2,50.7,82.6,1.3,2.9,2.7,15.5,9.3,"Benton County, AR",221339,10.84,44,4.32389231
44.4,8.1,6.685828543,0.041656253,0.458218779,1.228859452,4.95709406,67.0353245,19.70340748,43.46829959,3.863617429,85,19.6,61.4,21.8,22318,37427,14.7,677.78,141.7,51.5,86.4,7.9,0.7,2.3,4.8,3.9,"Garland County, AR",96024,20.83,44,10.59740273
36,7,10.38803599,0.141084996,0.59307952,3.158736296,6.49513518,69.29363445,17.86815346,46.29416744,5.131313554,88.3,31,43.5,17.1,26975,42107,16.7,759.76,503.8,51.9,57.5,35,2,2.1,5.8,4.6,"Pulaski County, AR",382748,16.98,44,17.02872909
39.7,8.4,5.093417386,0.045680873,0.289312198,0.395900903,4.362523411,28.4744111,6.768382745,19.11744553,2.588582827,83.6,21.6,59.5,19.9,22419,43786,16.2,6165.69,21.3,49,78.5,4.2,1.9,4,32.4,12.3,"Cochise County, AZ",131346,25.12,50,23.53174059
34.6,9.1,4.907630549,0.07099599,0.255690355,1.929204685,2.65173952,45.11467686,9.784347716,28.61269382,6.717635325,84.3,28,54.7,21.5,27185,53284,15.1,9200.14,414.9,50.5,73,5,3.5,3.5,29.6,16.8,"Maricopa County, AZ",3817117,13.02,50,8.258188051
47.6,11.2,3.581669048,0.054948898,0.284735196,0.329693385,2.912291569,36.38616087,9.725954862,23.88778436,2.772421648,82.4,12.1,65.6,19.2,21321,39863,17.8,13311.08,15,50,86.9,0.9,1.1,2.7,14.8,6.1,"Mohave County, AZ",200186,21.48,50,7.367133566
37.7,9,5.346524351,0.097932902,0.344805425,1.834201638,3.069584387,27.8700716,8.649719514,11.49181393,7.728538158,86.4,29,46.4,20.5,24556,43243,18.9,9187.04,106.7,50.9,74.3,3.5,2.6,3.7,34.6,13.2,"Pima County, AZ",980263,16.73,50,14.5354818
35.3,12,3.033770658,0.047901642,0.212896186,0.439098385,2.333874444,28.27527477,6.535912925,17.85666764,3.882694201,83.3,18,56.7,19.3,21526,49088,13.7,5365.61,70,47.5,72.4,4.6,1.7,3.8,28.5,10.9,"Pinal County, AZ",375770,13.04,50,5.348393964
49.2,10.5,3.591855302,0.018954382,0.199021006,0.222713983,3.151165931,24.10997332,5.951675804,16.77462766,1.383669853,88.7,23.9,61.4,21.8,25458,40837,14.2,8123.5,26,51,89.3,0.6,0.8,2.5,13.6,7.2,"Yavapai County, AZ",211033,22.75,50,7.69661143
31,8.9,3.756853468,0.022317941,0.580266476,0.505873338,2.648395712,36.34848722,5.192641031,30.20361402,0.952232166,86.1,30.1,40.8,22.1,22238,49777,18,18618.89,7.2,50.4,61.7,1.2,1.4,3.1,13.5,5.1,"Coconino County, AZ",134421,15.62,50,10.09819894
36.6,11.3,8.460733206,0.097333525,0.390658365,3.930420434,4.042320881,39.35386431,7.63108078,21.84243755,9.880345978,85.7,39.9,19.3,14.4,33831,68258,10.8,739.02,2043.6,51,43,12.6,26.1,6,22.5,30.1,"Alameda County, CA",1510271,10.46,1,9.689599416
37.2,13.9,3.8,0.031818182,0.418181818,0.768181818,2.581818182,30.28636364,8.454545455,18.25454545,3.577272727,85.9,24.8,47.5,17.9,22904,41196,18.5,1636.46,134.4,50.5,81.9,1.6,4.1,4.7,14.1,7.8,"Butte County, CA",220000,11.36,1,8.128213636
38.5,11.2,4.382164391,0.072448226,0.167774839,2.0066252,2.135316127,33.13457735,7.283906485,18.89468792,6.955982937,88.1,37.7,30.2,15.4,37742,75084,9.5,715.94,1465.2,51.2,58.6,9.3,14.4,5.9,24.4,23.1,"Contra Costa County, CA",1049025,9.91,1,6.484173399
30.6,16.8,4.607448009,0.069858671,0.18485679,1.37997743,2.972755118,40.03331721,8.262668601,25.29528723,6.475361384,72.6,19.4,48.1,18.5,20375,45219,21.5,5957.99,156.2,50,55.4,5.3,9.6,4.5,50.3,21.5,"Fresno County, CA",930450,7.31,1,6.39888656
30.7,15.9,5.515518126,0.067886965,0.277502855,1.5351982,3.634930106,38.0012172,11.01912626,20.74959119,6.232499753,71.4,14.6,57.9,17.8,19939,46938,22.2,8131.92,103.3,48.4,59.5,5.8,4.2,4.5,49.2,19.8,"Kern County, CA",839631,11.43,1,6.841731665
34.8,12.6,6.08925606,0.082089054,0.221314535,2.722484508,3.063367963,26.44795264,5.5539458,15.13239406,5.761612775,75.5,28.4,28.8,23.1,26983,54375,16,4057.88,2419.6,50.7,50.3,8.7,13.7,4.5,47.7,35.4,"Los Angeles County, CA",9818605,8.14,1,8.406931331
44.5,8.3,2.167117654,0.019809119,0.162434778,0.546731693,1.438142063,20.3518892,4.781921405,13.17702618,2.392941615,92.2,53.9,20.2,16,53284,86658,7.3,520.31,485.1,50.8,80,2.8,5.5,4.2,15.5,18.3,"Marin County, CA",252409,8.32,1,6.714895269
29.6,18.9,6.024402544,0.082097634,0.273658779,1.04381277,4.624833361,35.27461658,8.862635021,22.11944815,4.292533416,67,12.7,45,18.4,17994,39922,24.6,1934.97,132.2,49.7,58,3.9,7.4,4.7,54.9,24.7,"Merced County, CA",255793,10.56,1,5.94171068
32.9,12.8,4.753563968,0.086735075,0.238521456,1.414263583,3.014043854,27.68535406,7.362844139,15.75928126,4.563228665,70.9,23.6,29.9,25.9,25345,57647,17.2,3280.6,126.5,48.6,55.6,3.1,6.1,5.1,55.4,29.6,"Monterey County, CA",415057,12.05,1,7.947110879
36.2,9.6,2.537013758,0.023918422,0.142846133,1.007895737,1.362353466,21.16282067,3.847876177,14.86862142,2.446323074,83,35.2,50.2,21.3,33901,71735,10.7,790.57,3807.7,50.5,60.8,1.7,17.9,4.2,33.7,30,"Orange County, CA",3010232,4.88,1,5.99347625
40.3,11.5,2.298870368,0.008610001,0.203770033,0.413280066,1.673210268,23.94728383,5.200440832,16.57999265,2.166850347,92.5,33.5,54.7,14.7,35617,70751,7.2,1407.01,247.6,51.2,83.5,1.4,5.9,4.3,12.8,9.7,"Placer County, CA",348432,8.61,1,5.574278482
33.7,14.7,3.775504752,0.041102628,0.227434543,1.289252439,2.217715141,30.54427644,8.292226899,17.71888634,4.533163199,79,20.4,47.9,25.9,24642,55151,13.9,7206.48,303.8,50.2,61,6.4,6,4.8,45.5,22,"Riverside County, CA",2189641,6.07,1,5.090576492
34.8,12.8,6.525992608,0.068368213,0.298141794,2.386544008,3.772938593,36.60800627,8.380392278,21.59942148,6.628192514,85,27.9,39.5,16.5,27033,52502,15.3,964.64,1470.8,51,57.5,10.4,14.3,6.6,21.6,19.4,"Sacramento County, CA",1418788,8.74,1,18.69377948
31.7,14.2,5.153767916,0.058470625,0.242726795,1.713828057,3.138742439,30.11482845,7.574648316,17.03165767,5.508522462,77.3,18.2,45.8,22.9,21792,52137,17,20056.94,101.5,50.3,56.7,8.9,6.3,5,49.2,21.1,"San Bernardino County, CA",2035210,8.99,1,6.587262739
34.6,10.5,4.159191655,0.029076219,0.272993394,1.298091663,2.559030379,27.23278712,5.469883013,15.30992181,6.452982299,85.2,34,43.9,20,30705,60103,12.5,4206.63,735.8,49.8,64,5.1,10.9,5.1,32,22.7,"San Diego County, CA",3095313,5.33,1,12.05140999
38.5,9.5,8.454674722,0.121703602,0.207392873,5.16619372,2.959384527,46.06481338,6.820369209,32.02543357,7.219010599,85.6,51.1,13.7,17,44373,70247,11.7,46.87,17179.1,49.3,48.5,6.1,33.3,4.7,15.1,34.4,"San Francisco County, CA",805235,6.71,1,14.57711972
32.7,17.3,8.982848538,0.051072076,0.24952357,2.953425185,5.728827706,48.98103913,11.1774886,31.32469291,6.47885762,76,17.1,43.8,17.1,22767,52201,15.7,1391.32,492.6,50.2,51,7.6,14.4,6.4,38.9,23.1,"San Joaquin County, CA",685306,11.09,1,6.076561419
39.4,10.2,2.892778068,0.014834759,0.393121122,0.415373261,2.069448926,22.88261626,5.626082474,15.97703579,1.279497992,87.9,30,46,20.1,29098,55638,13.2,3298.57,81.7,48.8,82.6,2.1,3.2,3.8,20.8,9.6,"San Luis Obispo County, CA",269637,11.5,1,6.614095988
39.3,8.9,3.016211266,0.025053901,0.197647439,1.017466744,1.776043182,23.64253095,3.817936087,16.46041275,3.364182108,88.4,43.6,24.7,16.1,43286,84678,7.6,448.41,1602.2,50.8,53.4,2.8,24.8,5.3,25.4,33.3,"San Mateo County, CA",718451,5.57,1,7.564080223
33.6,9.4,3.899550596,0.033027047,0.320834169,0.688849833,2.856839548,22.19417544,4.800717159,15.47788957,1.915568714,80.8,31.3,37.5,24.4,29487,58555,15,2735.09,155,49.8,69.6,2,4.9,4.6,42.9,22.2,"Santa Barbara County, CA",423895,4.95,1,8.675322898
36.2,11.1,3.060098493,0.028063999,0.197570556,0.953053419,1.881410519,23.82128396,3.827929517,15.91060381,4.082750631,85.8,43.9,28.6,15.5,39201,84990,9.1,1290.1,1381,49.8,47,2.6,32,4.9,26.9,36,"Santa Clara County, CA",1781642,3.54,1,8.985175473
36.9,12.7,4.752612603,0.030489896,0.293465253,1.051901426,3.376756027,30.04017044,6.040810726,21.34673872,2.652620988,85.2,38.7,19.8,20.3,33532,60816,13.9,445.17,589.4,50.1,72.5,1.1,4.2,4.7,32,17.2,"Santa Cruz County, CA",262382,8,1,6.091054264
41.8,16,6.624422338,0.022570434,0.750466926,0.58683128,5.264553698,28.28639624,8.08585793,17.68393493,2.516603375,87.4,19.4,61.7,15.7,23964,42552,15.5,3775.4,46.9,50.8,86.7,0.9,2.5,4.4,8.4,5.6,"Shasta County, CA",177223,14.11,1,9.469143396
36.9,12,5.695014322,0.058063018,0.297572966,2.189459627,3.149918712,35.75956104,9.461852597,20.01964465,6.278063792,85.5,23.9,34.8,15.5,28288,65079,10.7,821.77,503,50.1,51,14.7,14.6,7.6,24,19.4,"Solano County, CA",413344,10.89,1,8.357714156
39.9,10.5,4.197338999,0.02479964,0.299662312,0.566258437,3.30661861,17.97767206,4.257271461,12.03609174,1.684308855,86.1,31.1,24,17.8,32939,61985,9.5,1575.85,307.1,50.8,76.8,1.6,3.8,4.4,24.9,16.3,"Sonoma County, CA",483878,7.03,1,6.495145471
32.9,17.4,5.499044616,0.060258177,0.274077515,1.574487854,3.59022107,45.05367837,10.97476349,26.40280064,7.676114242,75.3,16.1,48.1,17.2,21931,48550,17,1494.83,344.2,50.5,65.6,2.9,5.1,5.4,41.9,20,"Stanislaus County, CA",514453,8.55,1,5.925143794
29.6,16.8,5.104267729,0.097245686,0.235198867,1.060656431,3.711166745,38.19720068,8.887803356,22.99747387,6.311923452,67.2,12.9,56.8,17.8,17865,39876,23,4824.22,91.7,49.9,60.1,1.6,3.4,4.2,60.6,22.6,"Tulare County, CA",442179,11.08,1,5.789187184
36.2,10.8,2.595594898,0.037652523,0.150610092,1.053056049,1.354276233,19.55380546,3.982665264,13.91807297,1.653067223,82.3,30.3,42.9,15.3,32063,71246,10.5,1843.13,446.7,50.3,68.7,1.8,6.7,4.5,40.3,22,"Ventura County, CA",823318,4.49,1,6.752094573
43.6,12.6,2.490914514,0.044184736,0.160169669,0.331385523,1.955174585,17.01112351,5.998077964,9.665411084,1.34763446,92.4,31.1,54.1,16.8,34203,68778,7.6,1707.88,106,50,86.6,0.8,3.5,3.8,12.1,8.2,"El Dorado County, CA",181058,12.15,1,5.838626297
32.4,10.2,3.684304681,0.036231638,0.591028594,0.690665598,2.366378852,32.97079051,6.089179648,22.58363281,4.297978048,81,20,39.9,17.4,24000,53779,13.3,1167.65,378.2,49.7,73.3,3.1,3.6,4,38,15.3,"Adams County, CO",441603,6.11,27,4.779854304
35.8,7.1,2.033493229,0.006789627,0.241031752,0.302138393,1.483533458,25.53578643,3.975326496,20.45714557,1.103314356,93.4,56.6,26.1,20.7,36047,63757,12.9,726.29,405.6,49.8,87.2,0.9,4.1,2.7,13.3,10.9,"Boulder County, CO",294567,9.51,27,10.58558155
33.7,9.7,5.630184052,0.066649116,0.469876266,1.594580094,3.499078576,32.63473952,8.62939426,17.96360292,6.041742341,83.3,39.3,23,20,29844,46693,18.8,153,3922.6,50,68.9,10.2,3.4,4.1,31.8,17.4,"Denver County, CO",600158,9.66,27,14.25883351
36.6,7.1,1.141996392,0.010509169,0.318778134,0.115600862,0.697108227,13.42371219,2.777923738,10.09580859,0.549979857,97.3,53.5,58,10.4,42253,100447,3.3,840.25,339.7,50.5,90.2,1.2,3.8,2.6,7.5,6,"Douglas County, CO",285465,7.36,27,2.015861839
34.1,9.6,4.748795927,0.049818164,0.668527616,0.890298796,3.140151351,30.79083924,6.878120666,21.67250825,2.240210329,92.3,34.9,58.7,17.4,27750,55621,11.5,2126.8,292.6,50.2,79.8,6.2,2.7,5.1,15.1,7.4,"El Paso County, CO",622263,11.57,27,17.8008093
40.4,8.6,2.845421229,0.005612271,0.36666835,0.632315829,1.840824779,28.75540415,4.452401397,21.44822774,2.854775013,92.6,38.4,44.6,15.1,34147,66059,8.1,764.21,699.5,50.4,88.4,1.1,2.6,2.7,14.3,6.4,"Jefferson County, CO",534543,10.48,27,10.84280965
35.5,7.4,2.656609819,0.016687248,0.443880786,0.226946567,1.969095217,27.1801889,4.765877916,21.05263158,1.361679405,93.3,41.4,44.3,16.9,29188,56281,14.7,2596,115.4,50.4,90.5,0.8,1.9,2.6,10.6,5.2,"Larimer County, CO",299630,9.68,27,6.273560725
38.1,10.6,3.210130654,0.047708948,0.55887625,0.299884817,2.303660639,28.31185295,5.602393626,20.64434342,2.065115899,88.7,24.7,64,18.6,26053,52290,11.8,3328.97,44.1,50.3,89.4,0.6,0.8,2.7,13.3,4,"Mesa County, CO",146723,15.68,27,7.254854385
35.7,8.8,3.489492188,0.033216609,0.407340521,1.064679731,1.984255327,29.23586065,5.534936006,20.51038194,3.190542707,90.1,38.2,42.8,17.5,31808,56099,12.3,798.1,716.7,51,72.7,10.2,5.1,4.3,18.4,14.2,"Arapahoe County, CO",572003,10.31,27,9.122397959
39.5,8.3,3.135808313,0.038175058,0.147246651,1.30667769,1.643708914,19.98191593,3.416122309,14.28837875,2.277414872,88.2,43.4,40.5,10.8,48394,78892,8.2,624.89,1467.2,51.4,74.8,10.8,4.6,2.6,16.9,19.6,"Fairfield County, CT",916829,5.67,5,14.7681476
39.3,10.1,4.24011307,0.037102439,0.20174451,1.632507302,2.368758819,32.27912165,5.001872514,24.01339398,3.263855152,87.9,32,37.8,11.2,31318,60388,11.9,604.51,1426.7,51.9,74.8,12.7,3.5,2.6,15,11.1,"New Haven County, CT",862477,6.15,5,13.37807153
39.9,9.7,3.158787223,0.043623478,0.206931882,1.294163179,1.614068683,28.52751747,4.80976808,20.32630361,3.391445772,86.8,32.8,33.7,10.8,32779,61962,10.1,735.1,1216.2,51.7,72.4,13.3,4.2,2.7,15.3,13.5,"Hartford County, CT",894014,6.94,5,18.77165011
33.8,9.9,14.14105826,0.309112332,0.309112332,7.362191573,6.160642023,50.2074875,6.295255458,33.16808565,10.74414639,85.5,47.1,6.5,11.9,40846,58906,17.6,61.05,9856.6,52.8,38.5,50.7,3.5,2.9,9.1,12.5,"District of Columbia, DC",601723,16.45,NA,102.9041768
37.2,8.6,7.534184249,0.079854553,0.323132378,2.661199415,4.469997901,36.71823785,7.225908531,26.02701312,3.465316196,87.9,32.1,29.1,10.4,31071,62051,10.1,426.29,1263.2,51.6,65.5,23.7,4.3,2.5,8.7,9.2,"New Castle County, DE",538479,10.03,18,7.447510488
45.4,8.3,5.508635776,0.030434452,0.497096046,1.105785082,3.875320196,31.58588856,8.83106343,21.04542342,1.709401709,84.2,21.4,53.8,17.6,26689,50024,12.2,936.08,210.6,51.2,79,12.7,1,2.3,8.6,5.9,"Sussex County, DE",197145,13.19,18,8.191138502
30.1,8.2,8.098295436,0.016172332,0.541773135,1.427208332,6.113141637,42.78794838,11.10634926,29.02529353,2.656305592,89.1,39.3,38.6,26.9,24305,38597,23,875.02,282.7,51.6,69.6,20.3,5.4,2.6,8.4,9.8,"Alachua County, FL",247336,13.75,10,9.632795064
39.5,10.3,6.372444508,0.065145808,0.556700542,1.018643546,4.731954611,39.82777817,9.564589108,28.1133774,2.149811669,85.8,20.2,69.9,21.3,24858,43930,14.4,758.46,222.6,50.5,82.2,10.8,2,3.1,4.8,5.2,"Bay County, FL",168852,15.4,10,13.39267524
45.5,11.5,6.790877772,0.040487618,0.329421984,1.220149583,5.200818586,34.31877742,9.08210889,22.90310945,2.333559082,89.9,26.4,54.7,19.5,27342,45683,11.6,1015.66,535,51,83,10.1,2.1,2.6,8.1,8.3,"Brevard County, FL",543376,14.54,10,15.00763928
39.7,10.1,6.08501052,0.048625166,0.294611302,2.313985856,3.427788196,41.04993747,8.972201278,28.52638287,3.551353324,87,29.3,32.4,27,28465,48772,13,1209.79,1444.9,51.6,63.1,26.7,3.2,2.9,25.1,29.6,"Broward County, FL",1748066,9.78,10,7.139364875
55.9,12.4,3.312955531,0.018752578,0.093762892,0.450061884,2.750378177,31.29805348,7.963594994,21.91551338,1.418945105,87.9,20.8,53.1,25.4,27561,40874,12.2,680.28,235.2,51.4,90,5.7,1.2,1.7,5.8,9.6,"Charlotte County, FL",159978,13.13,10,8.994461738
54,12.9,3.384406242,0.049562435,0.155767651,0.417740519,2.761335637,21.83579257,5.494349882,14.86165,1.479792687,83.9,16.7,57.4,23.1,22714,37861,15.8,581.7,242.8,51.6,93,2.8,1.4,1.6,4.7,5.5,"Citrus County, FL",141236,18.41,10,9.298684471
38,10.5,4.856835984,0.026196526,0.356272758,0.576323579,3.898043119,26.91955047,6.465302701,19.08154979,1.37269798,89.8,22.9,71.1,22,26689,57858,9.2,604.36,315.8,51,81.8,9.9,2.9,2.9,7.7,5.9,"Clay County, FL",190865,17.29,10,5.825258691
46.9,12,3.651405822,0.024881811,0.17417268,0.727792983,2.724558348,19.23052998,4.229907937,14.00223936,0.998382682,84.7,30.7,60.8,31.9,36942,53934,12.6,1998.32,160.9,50.7,83.9,6.6,1.1,1.9,25.9,22.9,"Collier County, FL",321520,10.57,10,6.436445633
35.8,11.7,9.705379034,0.134218403,0.319347236,3.541745973,5.710067422,57.68267298,14.67377407,38.09257136,4.916327553,87.3,25.1,50.6,18.8,25948,47002,15.3,762.19,1133.9,51.5,60.9,29.5,4.2,2.9,7.6,8.3,"Duval County, FL",864263,15.39,10,10.759034
37.6,10.9,9.162721466,0.073920012,0.540960087,2.325120372,6.222720996,41.50608664,10.05648161,28.64400458,2.805600449,86.1,23.7,59.2,19.6,23154,40794,18.9,656.46,453.4,50.6,68.9,22.9,2.7,3.2,4.7,5.2,"Escambia County, FL",297619,12.1,10,12.89955614
47.7,14.5,3.756265265,0.023151096,0.457234139,0.526687425,2.749192606,35.94207596,10.06493882,23.82826517,2.048871963,85,16.1,51.2,20.7,22872,40352,13.1,472.54,365.6,52.2,89.5,5.1,1.1,2,10.3,6.8,"Hernando County, FL",172778,14.47,10,9.375082476
36.1,11.8,6.771740917,0.061014004,0.279037378,1.86702852,4.564661014,39.07580868,9.983518084,25.43389092,3.658399676,85.4,28.7,46,21.1,27252,47129,15.2,1020.21,1204.9,51.3,71.3,16.7,3.4,3.1,24.9,14.5,"Hillsborough County, FL",1229226,10.41,10,9.217340831
45.6,12,5.891224432,0.040396968,0.350107052,0.727145416,4.773574997,27.88064043,7.867309427,18.09784146,1.915489544,85.4,19.5,56.4,21.6,24768,42479,12.6,938.38,316.6,51.5,82,9.8,1.7,2.3,12.1,8.3,"Lake County, FL",297052,14.48,10,9.826195414
45.6,12.8,4.580172411,0.074342954,0.253735733,1.252517155,2.999576568,34.28179858,10.01852109,21.8503638,2.412913694,86.7,24.9,54.8,28.2,30363,45624,12.8,784.51,788.7,50.9,83,8.3,1.4,2.1,18.3,14.3,"Lee County, FL",618754,10.83,10,6.909358162
29.6,8.2,8.37789079,0.050819095,0.559010044,2.657112677,5.110948974,41.98020233,13.38720157,26.21902304,2.373977719,90.1,41,37.5,24.2,25467,40725,22.3,666.85,413.1,52.4,63,30.3,2.9,2.2,5.6,6.3,"Leon County, FL",275487,13.43,10,30.21768359
